Hutsul,Ukrainian
Икої,Котрої
Именувати,Називати
Имшедь,Мох
Инак,В Іншому Разі
Инак,Інак
Интерес,Інтерес
Интерес,Зацікавленість
Интереси,Інтереси
Иржєвіє,Іржавіє
Иржєвіє,Ржавіє
Ирстєнин,Хрестиянин
Ирститиси,Хреститися
Искладали,Склали
Искладали,Складали
Искра,Іскра
Ити,Іти
Ігратиси,Бавитися
Ігратиси,Гуляти
Ігратиси,Розважатися
Ід'ні,До Неї
Ід'хаті,До Своєї Родини
Ід'хаті,В Рідні Краї
Ід'хаті,На Батьківщину
Ізгнати,Мати Викидиш
Ізгнати,Перервати Вагітність
Ізгонити,Нагнати
Ізгонити,Прогнати Когось
Ізживси,Зжився
Ізживси,Примирився
Ізмотати,Піти В Рукопашну
Із Неділі,Наступного Тижня
Ізнидіти,Зазнати Душевної Муки
Ізнидіти,Змарніти
Ізнирнути,Заховатися
Ізсварити,Посварити
Ілувата Опока,М'який Камінь
Імперіялізм,Імперіалізм
Інжінєрский,Інженерний
Інспіратор,Натхненник
Інспіратор,Підбурювач
Інспірація,Намова
Інспірація,Підбурювання
Інспірований,Заохочений
Інспірований,Намовлений
Інспірований,Підбурений
Інспірувати,Заохочувати
Інспірувати,Надихати
Інспірувати,Підбурювати
Інспірувати,Підмовляти
Інспірувати,Стимулювати
Інтенція,Задум
Інтенція,Намір
Інтенція,Прагнення
Інтенція,Ціль
Інтерес,Справа
Ірлянда,Ірландія
Ірщєні,Хрещені
Іскосити,Викосити
Іскосити,Скосити
Італіяни,Італійці
Їверниці,Явір
Їверниці,Яворина
Їгнітарь,Ягничєрь
Їдєт,Їдять
Їдєт,Наминають
Їдєт,Споживають
Їдица,Їда
Їдица,Харчунок
Їднанка,Могорич
Їднанка,Хабар
Їднанка,Зведення
Їдь,Зміїна Отрута
Їдь,Яд
Їдь,Ядучість
Їжєк,Їжак Звичайний
Їкраз,Саме Тоді
Їкраз,В Той Момент
Їловеґа,Яловега
Їмкувати,Ямкувати
Їнчий,Той Там
Їхают,Їдуть
Йа,Я
Йагідка,Ягода
Йакраз,У Той Час
Йва'!,Іване!
Йван Хреститель,Іван Хреститель
Йграти,Грати
Йдеси,Ведеться Мова
Йдеси,Іти Дорогою
Йдико,Іди Но
Йдико,"Іди, Будь Ласка"
Йдет,Іде
Йдет,Ведеться Розмова
Йеблінк'і,Яблуньки
Йкас,Якась
Йкес,Якесь
Ймено,Йминьи
Йокати,Повторювати Йо-Йо
Йолуп,Йолоп
Йорданиця,"Вода, Освячена 19 Січня"
Йорданцка,Вода Йорданська
Йуй-Йуй-Йуй,"Уживається При Нещасних Випадках, Нестерпному Болю, Приємній Несподіванці"
Кавалєр,Кавалер
Кавалкє,Шматки
Кавалкє,Частина Чогось
Кавуш,Ківш
Кавуш,Черпак
Кавуш,Полонник
Кайлак,Велика Колода
Калєчєют Мрєчі,Стоять Тумани
Калєчєют Мрєчі,Дуже Захмарилося
Калєчєют Мрєчі,Негура
Калєчєют Мрєчі,Мрака
Кальвін,Душогуб
Кальвін,Жорстока Людина
Калюхата,З Великим Животом
Калюхата,Животата
Калюхачь,Черевань
Калюшники,Призиванка Тюдівчанам
Камніний,Кам'яний
Канариця,Канарка
Канариця,Канарейка
Кантар,Повідки
Кантар,Ліци
Капів,Мисливська Собака
Капливец,Малий Водоспад
Капуша,Овеча Воша
Капчори,Капці
Капчюри,Теплі Вовняні Шкарпетки
Карган,Тарган
Карлові,Сорт Груш
Карник,Курник
Карпатцкі,Карпатські
Карпацкий,Карпатський
Касиєр,Касир…
Катран,Гиндра
Катранє,Ганчір'я
Катушя,Катуша
Кау,Говорю
Кау,Мовлю
Кацюба,Старесенька Жінка
Качєр,Качур
Квапом,Борзенько
Квапом,Поспіхом
Квап'юси,Дуже Спішу
Квап'юси,Обмаль Часу На Виконання Чогось
Квартирювати,Винаймати Житло
Кваснєк,Кислий
Кваснєк,Квасний
Квацувати,Зімнути
Квацувати,М'яти
Керегвит,Гамір
Керничка,Криничка
Кертина,Кріт Європейський
Кертина,Шкірне Захворювання
Керунок,Напрямок
Кєгне,Добре Справується
Кєгне,Тягне
Кєла,Один Центнер
Кєртиця,Кертина
Керуєт,Керує
Керуєт,Командує
Кєцка,Дерн
Кєшка,Кишка
Кибавка,Голова Кота
Кибавка,Шия Кота
Киженько,Надсилу
Киженько,Напружено
Кили,Грижа
Кирзаки,Чоботи Із Замінника Шкіри
Киринний,Капарний
Киринник,Капарник
Кириня,Безлад
Кирстка,Гроно
Кібзувати,Нівечити
Ків,Колик
Кідрині,Кедрове Дерево
Кіжка,Важка
Кіжка,Непостильна
Кійло,Ковила
Кіко,Кілько
Кілко,Стільки
Кілко,Стільки-То
Кіло,Тіло
Кіло,Людський Організм
Кільо,Кілограм
Кіннок,Приміщення Для Коней
Кіннок,Стаднарка
Кінтарь,Кептар
Кінутиси,Ворохнутися
Кінутиси,Робити Щось Скоріше
Кінчєєтси,Закінчується
Кінчіласи,Завершилася
Кінчіласи,Закінчилася
Кінчьию,Закінчую
Кірвава,Кровава
Кірзаки,Кирзаки
Кірничєнька,Криниченька
Кіс,Чорний Дрізд Або Шпак
Кісльик,Загусле Кисле Молоко
Кісльик,Кисляк
Кіт,Віконна Замазка
Кітайский Комп'ютер,Рахівниця
Кітлик,Банєк
Кітлик,Казанок
Кіточка,Ласиця
Клєдьба,Заклинання
Клєдьба,Проклін
Кликоцей,Підсніжник Білосніжний
Климак,Наручник
Климак,Пучок
Клісти,Клясти
Клічка,Квочка
Клопоція,Морока
Кльоци,Ковбки
Кльоци,Колоди В Талбі
Ключка,Зачіпка
Ключка,Початок Сварки
Клявза,Збірник Води
Клянці,Зуби
Клянці,Ікла
Клястер,Клей
Книжєчькє,Книжки
Книжєчькє,Книги
Книжник,Вчитель Закону Божого
Кнороз,Кнур
Кнороз,Кнурь
Ковадло,Наковальня
Ковала,Кувала Зозуля
Ковач,Коваль
Ковбури,Дощові Хмари
Ковбурь,Глибока Вода
Ковбурь,Плесо
Ковериц,Ковер
Коверц,Узір На Ліжнику
Кокоїжитиси,Надутися
Кокоїжитиси,Настовбурчитися
Колешня,Стара Стайня
Колєя Вузкоторова,Вузькоколійка
Колибочька,Колибка
Колідничок,Колядничок
Колопні,Коноплі
Колтун,Кимак
Кольонізувати,Колонізувати
Кольонія,Колонія
Кольонска Вода,Одеколон
Коляри,Окуляри
Команиця,Конюшина Лучна
Комишує,Дебоширить
Комісарь,Комісар
Конец,Закінчення
Конєчі,Кінські Екскременти
Коніки,Екскременти
Конробанта,Контрабанда
Консомолка,Комсомолка
Контроверсія,Розбіжність
Контроверсія,Спірне Питання
Контролєр,Контролер
Контрофезивний,Спрямований Проти Наступу
Кооператива,Склеп
Кооператива,Заклад Торгівлі
Копицьи,Повна Жінка
Копці,Військо Польське
Корбач,Нагайка
Корениця,Ріг
Коріньичко,Коріння
Корнаґа,Зломана Гілка
Корнєти,Розбуджувати
Коров'єк,Коров'ячий Екскремент
Коронний,Урядовий
Кортєчє,Дуже Бажане
Кортєчє,Цікаве
Кортєчий,Беручкий До Чого-Небудь
Кортит,Хочеться
Корушинка,Кожушинка
Корчі,Судома
Корчікє,Кущики
Корчікє,Кущі
Корчуга,Короткі Сани
Корчь,Кущ
Коршьма,Кнайпа
Котєт,Народжують
Котєта,Кошенята
Котики,Кісточки Внизу Ніг (Перед Стопами)
Котюга,Старий Пес
Кочєтиси,Котитися
Кочєтиси,Качатися
Кошєруванє,Кошарування
Країчок,Краєчок
Красуля,Дуже Вродлива
Красуля,Дуже Красива
Красунь,Красень
Крепір,Замордувати
Крепнути,Вмерти
Крепнути,Загинути
Кресаня,Капелюх-Бриль
Криўда,Кривда
Криворівський,Криворівнянський
Кримінар,Засуджений
Крисент,Окружний Уряд
Кричєти,Підвищувати Голос
Крілик,Кролик
Крілиці,Самка Кроля
Крільитко,Кролятко
Крільитник,Кролятник
Крішку,Трішечки
Кролєтина,Кролятина
Кроплі,Краплі
Круглєк,Вид Танцю
Крутєтци,Крутяться
Ксйондз,Польський Священик
Кубаса,Ковбаса
Кувочі,Квоче
Кужель,Волокно
Кужель,Прєдиво
Кукуріґати,Кукурікати
Кукуріґати,Піяти
Кулко,Кочіло
Кулко,Круг
Кульбавка,Кульбаба
Курік,Курячий Послід
Курінє,Куриво
Курінє,Куріння
Курушина,Кожух-Безрукавка
Кутати,Добре Доглядати
Кухарька,Кухарка
Кучєрєве,Кучеряве
Кучєрєве,В Кучерях
Кучірєвий,Кучерявий
Кучірикє,Кучері
Кушєти,Смакувати
Кушєти,Дегустувати
Кушкатий,Довгоносий
Кушньирити,Займатися Кушнірством
Куштур,Костур
Куштур,Милиця
Кушь-Кушь-Кушь!,"Вигук, Який Уживають Для Відганяння Овець"
Кцьо-Кць-Кцьо!,Його Вживають Для Кликання Кіз
Лаба,Нога Людини
Лагоїти,Примирювати
Ладунок,Вантаж
Лаз,Левада
Лайдак,Нероба
Лакім,Є Звичка
Лакім,Має Звичку
Лакім,Ухильний
Ландрувати,Мандрувати
Ландрувати,Ходити В Походи
Ланци,Ланцюги
Лапатачє,Відходи З Лісопилки
Лапатачє,Обрізки
Лапатачє,Шаламачє
Левізор,Ревізор
Легковушка,Легковий Автомобіль
Леґейдоватий,Вайлуватий
Леґейдоватий,Заторможений
Лейбан,Чоловічий Піджак
Лекше,Легко
Лекше,Легше
Лекший,Легкий
Лекший,Легший
Лелія,Лілія
Лен,Льон
Лесиха,"Дружина Леся, Олекси"
Лехкі,Легені
Лехкі,Потрух Білий
Лещатар,Альпійський Стрілець
Лєґіон,Легіон
Лєґіоніст,Легіонер
Лєжут,Ляжуть
Лєжут,Упадуть
Лєковишшє,Страховисько
Лєнка,Пан
Лєтрик,Електрик
Лєтрика,Електрична Енергія
Лєтрика,Електроосвітлення
Лєтростанція,Електростанція
Лєцта,Погана
Лєшувати,Бути В Пошуках
Лєшувати,Шукати Щось
Лижва,Лижа
Лижвяр,Лижник
Лижечька,Ложечка
Лизва,Ковзан
Лийбан,Сукняна Куртка
Лисниця,Недоспіле Яблуко
Лисниця,Зеленець
Листва,Плінтус
Лихослов'їт,Лихословлять
Ліворвер,Револьвер
Лігати,Лягати
Лій,Овечий Жир
Лікарик,Медик
Ліноль,Лінолеум
Лісковий,Горіх Ліщини
Лісковий,Фундук
Ліскувати,Прибивати Планки До Стін
Лісна,Лісна
Літепла,Тепленька Вода
Літепло,Літня Температура
Літепло,Тепле Повітря
Літниски,Відпочивальники
Літниски,Туристи
Ліхтарня,Ліхтар
Лічничі,Лікарські Рослини
Лїченє,Лікування
Лльив,Лив
Лльив,Наливав
Лльив,Поливав
Лльити,Лити
Ломаджі,Сухі Гілляки
Лотва,Литва
Лотиш,Литовець
Лоші,Лошатко
Луг,Рідина Для Прання Білизни
Лудина,Одежа
Лудина,Одіж
Лудина,Уберя
Лукєнова,Дружина Лукєна
Лукіниха,Дружина Лукина
Лумірь,Реєстраційний Номер
Любови,Любові
Любови,Прихильності
Людьина,Людина
Людьина,Особа
Людьина,Особистість
Люксусовий,Люксовий
Люксусовий,Змістовний
Люфтивник,Літник
Люфтувати,Освіжувати Приміщення
Люфтувати,Провітрювати Приміщення
Люцка,Людська
Лючін,Житель С
Лючінка,Мешканка С
Лямпа,Лампа
Лямпічка,Ліхтарик
Лямпочка,Лампочка
Маґнет,Маґніт
Маґнет,Маґнес
Мадьярскі,Угорські
Мадярский,Угорський
Майдалі,Дальше
Май Душше,Чимдальш
Май Душше,Чимдуш
Май Душше,Сильніше
Майтки,Труси
Малафія,Чоловіча Сперма
Малюватьи,Малювати
Мамунцуня,Мамуня
Мамунцуня,Мамця
Манна,Жирність Молока
Манорія,Манера
Манорія,Характер
Мармоляда,Повидло
Матеркувати,Лихословити
Матеркувати,Матюкатися
Матинька Божя,Мати Божа
Мау,Мав
Махмуц,Кулак
Мацьок,Шлунок Людини
Мацюпіненька,Малесенька
Мачинка,Грибна Страва
Маштерєтиси,Бути Обережним
Маштерєтиси,Матися В Гадці
Медарня,Склад
Медодаї,Медоносні Рослини
Медодаї,Медоноси
Мелник,Власник Млина
Мелник,Млинар
Мельдувати,Доповідати
Менник,Мельник
Менник,Працівник Млина
Мент,Момент
Мент,Пора
Мерзко,Прохолодно
Мерзко,Холоднувато
Металь,Медаль
Мештерьитиси,Добре Поступати
Мештерьитиси,Мудро Вчиняти
Мештерьитиси,Шануватись
М'єкіш,М'якушка
М'єко,М'яко
М'єкший,М'якший
Мижи,Між
Мижи,Поміж
Мижи,Серед
Мий,Мій
Микитиха,Дружина Микити
Мисочька,Мисочка
Мита Хата,Дерев'яна Хата
Митрика,Метрика
Митрика,Свідоцтво Про Народження
Михайлиха,Дружина Михайла
Мищеґа,Велика Миска
Мищеґа,Мильниці
Мищеґа,Мильниця
Мідьиний,Мідний
Мізерота,Біднота
Мізерота,Маленькі Діти
Мілійони,Мільйони
Міліонова,Мільйонна
Мірінник,Землемір
Місєць,Небесне Світило
Місєць,Супутник Землі
Місічька,Місячні
Міскаво,Грузько
Міціцький,Малесенький
Міцка,Вовна З Ягняти
Міцковий,Вовняний
Мішєнник,Власник Овець
Мішюр,Міський Житель
М'їсниці,М'ясниці
Млавке,Несмачне
Млоїти,Нудити
Мнєка,М'яка
Мнєтка Кропльова,М'ята Перцева
Мнєцкати,Розминати
Мніконька,М'якенька
Мнітоньке,М'яке
Мнітоньке,М'яконьке
Мовня,Електричний Розряд
Могуть,Велика Сила
Молєтси,Моляться
Молєтси,Хрестяться
Молитьиси,Молитися
Молодица,Молода Заміжня Жінка
Молодичькє,Молоді Заміжні Жінки
Молодіж,Молодь
Молодінка,Молода Жінка
Молодінка,Чєлідина
Мосєжник,Мосяжник
Мосєжництво,Мосяжництво
Москаль,Вояк
Москаль,Москвин
Моторова Пила,Бензопила
Мотоцикіль,Мотоцикл
Мрьичьі,Мряки
Мрьичьі,Тумани
Мука,Біль
Мука,Духовне Переживання
Мука,Страждання
Мулит,Болить Шлунок
Мурашька,Мурашка
Мускинка,Копитна Гниль
Мусю,Покликаний
Мучєєси,Мучиться
Мучєєси,Страждає
Мушшіне,Чоловіки
Мушшіне,Чоловічий
Набилювати,Натякати
Набитіська,Набита
Набитіська,Повна
Наборсати,Нанизати
Наборсати,Насилити
Набуватиси,Гоститися
Набуватиси,Частуватися
Набуваютци,Набуваються
Набудливий,Веселий
Набудливий,Забавний
Набути,Взути
Набути,Взувати
Набуток,Гостина
На Видлю,Від Себе
Навіґлі,Лівою Рукою Від Себе
На Віру,Жити В Цивільному Шлюбі
Навкірки,Докір
Навкірки,Щоб Докорити
Наврочіти,Зурочити
Навчивьимся,Навчився
Навчіли,Навчили
Нагід,Нарік
На Голу,На Голову
Нагульковатий,Не Культурний
Нагульковатий,Не Стриманий
Нагульковатий,Не Тактовний
На Ґорґошях Нести,Нести Когось На Плечах
Нада,Приманка
Надбавйити,Надбавляти
Надбавйити,Підвищити
Надалеки,Здаля
Надалеки,Бути Осторонь
Надвирна,Надвірна
Надолину,Вдолину
Надсадитиси,Надірватися
Наждачька,Шліфувальний Папір
Назавсігди,Назавжди
Назавсігди,Назавше
Назбиткі,Збиткування
Назбиткі,Навмисне Щось Робити
Назвиско,Назва Чогось
Назирцем,Вслід
Назирцем,Слідом За Кимось
Найбирший,Найбільший
Найбілше,Найбільше
Найважнішшя,Найважливіша
Найгирші,Найгірші
Най-Ко,Відстань
Най-Ко,Залиш
Найкрашші,Найкращі
Наймиласі,Найнялася
Наймиласі,Пішла В Найми
Наймилішшя,Наймиліша
Найнибезпешніший,Найнебепечніший
Най На Тому Си Тєкне,Аби Вже Не Було Гіршого
Найпрехтичьнішші,Більш Практичні
Найпрехтичьнішші,Найпрактичніші
Найпушший,Найслабший
Найпуще,Найгірше
Найранше,Вдосвіта
Найранше,Ранесенько
Накрити Голову,Віддатися
Наколи,Лишень
Наколи,Як Тільки
Наладувати,Наповнити
Нам'єко,Нам'яко
Намисник,Навісна Полиця Для Мисок
На Мігі,Кивнути Головою
На Мігі,Моргнути
Наміж,Замість
Намішма,Гуртом
Намішма,Оптом
На Ню,На Неї
Наоколо,Навколо
Наоколо,Довкола
Наоколо,Довкруги
Наоколо,Довкруж
Наоколо,Навкіл
Наоколо,Навкруги
Напамніть,Напам'ять
Наперсниці,Вовняні Онучі
Напередовець,Вояк З Фронту (Передової)
Напинати,Пробувати На Смак Їжу
Напомацки,Наугад
Напопереки,Навпростець
Напрєтана,Відібрана
Напрєтана,Надбана
Напролюдень,На Вихід
Напудитиси,Злякатися
Напудитиси,Настрашитися
Напуст,Велика Біда
Нап'ятнували,Згадували
Нап'ятнували,Обнародували
Нараз,Раптом
Нараквиця,Манжет
Нараквиця,Нарукавниця
Нарєхтувати,Наготувати
Нарик,На Наступний Рік
Нарід,Народність
Нарід,Нація
Нарік,На Другий Рік
Нарічє,Наріччя
Народи Народенні,Фестини
Народжіня,Народження
Народнє,Народне
Народня,Народна
Народня Медицина,Народна Медицина
Настрашіла,Злякала
Настрашіла,Злякалася
Натина,Лобода
Научіти,Навчити
Нахлеставбесси,Напився
Нахта,Гас
Нацицник,Ліфчик
Начинє До Миття,Предмети
Начинє До Миття,Речі Особистої Гігієни
Начін'е,Начиння
Начіниці,Нити
Начіниці,Складова Ткацького Верстату
Нашинскі,Наші
Нашинскі,Знайомі
Нашинскі,Односельчани
Нашпорпати,Надерти
Нашпорпати,Нарити
Нашьо,Навіщо
Нашьо,Для Чого
Наюдити,Намовити
Ньи Втєли,"Не Зрубали, Відрізали"
Небожє,Нещасна Дитина
Неборе,Неборак
Неволи,Неволі
Неволи,В Тюрмі
Неґація,Нехтування
Неґувати,Ігнорувати
Неґувати,Нехтувати
Не Єлоси,Не Личить
Не Єлоси,Не Пасує
Не Єлоси,Не Файно
Ненавіць,Ненависть
Неня,Мама
Неня,Мати
Непричком,Не При Вас Кажучи
Непричком,Подібно До Когось
Непричком,Проговоритися
Непричком,Ненароком
Не Рихт,Не До Вподоби
Не Рихт,Не Так
Нетиканий,Неторканий
Неўкий,Освічений
Не Урічливий,Відпорний
Нехарна,Капарна
Нехарна,Нечиста
Нецурки,Недоречі
Нецурки,Недоречні
Нибезпечєньство,Небезпека
Нибезпечєньство,Пересторога
Нибішшік,Покійник
Нибішшік,Мертвець
Нибішшік,Мрець
Ниґіє,Втрачає Вагу
Ниґіє,Марніє
Ниґіє,Худне
Нидде,Ні В Якому Місці
Низнакомі,Незнайомі
Николаїха,Дружина Миколи
Нинасаму,Неназдогадь
Ниодненька,Не Одна
Ниодненька,Не Єдина
Ниправда,Неправда
Нипроше,Примусово
Нипроше,Силоміць
Ниретенна,Не Надійна
Ниретенна,Не Слівна
Ниретенна,Не Точна
Нисмашна,Не Смачна Страва
Нисупокійний,Неспокійний
Нич,Так Собі
Ничьо,Ніщо
Ничюване,Небувале
Нишьшіли,Нищили
Нишьшіли,Псували
Нишьшіти,Руйнувати
Ньиньо,Дєдя
Нієке,Ніяке
Нієке,Нічого Не Варте
Нієке,Погане
Нікуда,Нікуди
Нікчемство,Безглуздя
Нікчемство,Безкультурність
Нікчемство,Безчинства
Нікчемство,Антихриство
Німеччіна,Німеччина
Ніхті,Нігті
Нічьо,Нічо
Новелі,Жанр Літератури
Новелі,Новела
Новенькєй,Новий
Новенькєй,Новенький
Новосілє,Новосілля
Ногавиці,Холошні
Номади,Гуцули-Кочовики
Носют,Носять
Нотаруш,Нотаріус
Нумер,Номер
Ньоґа,Дуже Швидко Втекти
Ньоґа,Побігти
Нулька,Дуже Коротенька Чоловіча Стрижка
Ньи Втєли,"Не Врізали, Спилили"
Нюні Розпускати,Скаржитися
Нют,Заклепка
Нягати,Ходити
Обарєнок,Калачик
Обарєнок,Роґальок
Обвертати,Зганяти
Обвертати,Перекидати Щось
Обвеснувати,Впоратися З Весняними Роботами
Обвеснувати,Завеснувати
Обедувати,Милувати
Обедувати,Пестити Когось
Оберка,Знак На Худобі
Оберка,Мітка
Оберок,Верхній Теплий Одяг
Обзиратисі,Оглядатися
Обитерти,Обтерти
Обіздритися,Оглянутися
Обіздріти,Оглянути
Обіздріти,Передивитися
Обіч,Узбіччя
Обіч,Обабіч
Облесний,Привітний
Облесний,Розважливий
Оболонка,Очеревина
Обора,Обгороджене Подвір'я
Оброб'єти,Обробляти
Обстричи,Обстригати
Обстричи,Стригти
Обхаїти,Почистити
Обхарити,Обмити
Обхарити,Помити
Обшєдок,Бережливість
Обшєдок,Ощадність
Огень,"Тепло, Що Зігріває"
Оґєр,Старий Парубок
Оґир,Самець Кобили
Оґражда,Огорожа Гуцульської Ґражди
Оґрод,Земельна Ділянка
Оґрод,Присадиба
Оглашка,Оголошення
Оглашка,Оповідь
Одзеро,Озеро
Один Мент,Моментально
Один Мент,Тут Же
Одовиця,Вдова
Одноліток,Однорічні Пагони Фруктових Дерев
Одноліток,Однорічник
Одпушшінє Гріхів,Відпущення Гріхів
Озме,Візьме
Озьми,Бери
Озьми,Візьми
Окап,Острішок
Окап,Стріха
Окуп,Викуп
Окуп,Викупне
Олексиха,Дружина Олексія
Оленичька,Олениця
Оленьи,Оленятко
Олітки,Овечі Відходи
Оливо,Олово
Олуфчікє,Олівчики
Омпно,Незручно
Омпно,Ніяково
Омпно,Образливо
Омпно,Соромливо
Омпно,Сором'язно
Омражєє,Ображає
Омражєє,Принижує
Омражєти,Ображати
Омраза,Паскуда
Онна,Одна
Оногди,Цими Днями
Онуфріїха,Дружина Онуфрія
Опириці,Упириця
Оповість,Вість
Оповний,Повний
Оподаль,Вдалечині
Оподаль,Далі
Оподаль,На Певній Відстані
Оподаль,Осторонь
Оположитци,Отелиться
Оположитци,Розтелитися
Опороситци,Опороситься
Опришок,Винищувач
Опришок,Нищівник
Опровід,Комашня
Опровід,Похорон
Оріпка,Куріпка
Оріх,Горіх
Оседок,Куток
Оседок,Поселення
Оседок,Присілок
Ослободити,Визволити
Оставив,Залишив
Остатний,Розволочений
Острійше,Гостріше
Острійше,Рішучіше
Остряк,Багнет
Остряк,Штик
Осьдечки,У Цьому Місці
Отворєєтци,Відкривається
Отворєєтци,Відчиняється
Отєж,Отож
Отєк,Правдоподібно
Отсі,Ось Ці
Отутечкі,У Цій Окрузі
Отуткі,Осюди
Отуткі,Таки Тепер
Оферма,Тугодум
Офіцир,Офіцер
Охітний,Заціквавлений
Ошєцувати,Оцінити
Ошєцувати,Пошанувати
Ошєцувати,Віддати Належне
Пав'їнки,Пір'я Пави
Паворєта,Бакенбарди
Пазблін,На Око
Пазорь,Кіготь
Пакала,Ганьба
Пакати,Палити Люльку
Палямарь,Паламар
Памнітаю,Пам'ятаю
Памнітник,Пам'ятник
Памнітник,Монумент
Памнітник,Обеліск
Панити,Служити
Пантелиха,Дружина Пантела
Пантрати,Контролювати
Панцкі,Панські
Паньствовий,За Часів Панщини
Папіркє,Папір Для Самокруток
Пара,Декілька
Паратиф,Гафніоз
Парити,Когось Бити
Парити,Швидко Йти
Парлямент,Парламент
Парляментар,Парламентар
Парляментська,Парламентська
Парочька,Пара
Парочька,Молода Пара
Парубочіти,Парубкувати
Пасічєр,Пасажир
Пасічнича,Пасічницька
Пастирька,Пастушка
Пастівник,Пасовисько
Пастушити,Випасати Худобу
Пастушити,Пасти Худобу
Паськудна,Паскудна
Паськудна,Морально Нечиста Людина
Паськудна,Негарна
Паськудна,Неприваблива
Паськудна,Огидна
Паськунний,Відгонистий
Паськунний,Недобрий
Патріярх,Патріарх
Паха,Пахва
Пахілля,Пахощі
Пацелий,Моцний
Паццє,Молоде Порося
Пацити,Мати Пригоду
Пацити,Перетерпіти
Пацити,Щось Пережити
Пашпорт,Паспорт
Пелешє,Довге Волосся
Пенція,Пенсія
Первовік,Споконвік
Первовік,Одвічний
П'ерга,Квітковий Пилок
Переверечі,Перевернути
Переверечі,Перекинути
Перевірєти,Перевіряти
Передполудень,Перед Обідом
Передполудень,Передобіддя
Передтогід,Позаминулого Року
Передтогід,Два Роки Тому
Передтогідний,Позаторічний
Передучєри,Два Дні Тому
Передше,Перед Цим
Передше,Попередньо
Перемоцувати,Пересилити
Перепочювати,Робити Перепочинок
Перепудити,Перелякати
Перепужена,Перелякана
Переразливо,Зверхньо
Переразливо,Принизливо
Перериндиґати,Перерити
Переробйити,Переробляти
Перестас,Парастас
Перестічька,Звіринна Стежка
Перміс,Водійські Права
Перміс,Права Водія
Петриха,Дружина Петра
Печет,Пече
Печєтка,Печатка
Печют,Печуть
П'євка,П'явка-Кровопивця
Пивка,М'ячик
Пивниця,Погріб
Пивниця,Підвал
Пигичіти,"Невміло, Погано Грати"
Пидело,Велосипедна Педаль
Пидлагодити,Підремонтувати
Пизнати,Пізнати
Пизнати,Бачити
Пизнати,Впізнати
Пизно,Невчасно
Пизно,Пізно
Пилник,Напильник
Пилувати,Приспішувати
Пилувати,Пришвидшувати
Писанчєрь,Писанкар
Писанчина,Писаночка
Писатель,Письменник
Писатьи,Анотувати
Писківка,Курча
Писківка,Молода Курочка
Писмо,Освіченість
Письмо,Наука
Пити,Піти
Пити,Сходити
Піврик,Половина Року
Піврик,Півріччя
Під,Стрих
Підґарлі,Ошийок
Підзолювати,Набити Підошви Цвяхами
Підкарпатє,Прикарпаття
Підникнути,Підрости
Підсунувсі,Підсунувся
Підчмелитиси,Захмелілити
Підчмелитиси,Похмелитися
Підшепти,Намовлювачі
Підшепти,Підбурювачі
Пієнцтво,Зловживання Алкоголем
Пізьма,Ворожнеча
Пілє,Біля
Пілє,Рядом
Післядь,Опісля
Післядь,Поза Роботою
Пістолєтко,Пістоль
Пістрьик,Бородавка
Піціцькі,Дрібонькі
Піціцькі,Малесенькі
Пічкарь,Пічник
Пишва,Наволочка
П'їниця,П'янюга
Пйеси,П'ється
Пйиний,Напідпитку
Пйиний,Нетверезий
Пластє,Гілля Смереки
Пластовец,Снігопад
Пластовец,Лапатий Сніг
Плат,Фустка
Платина,Біла Платинка
Плекаєси,Підгодовується
Плекаєси,Підкормлюється
Плекаєси,Наживається
Плива,Пліва
Пливак,Плавець
Пливані,Плавання
Пливати,Плавати
Плібанія,Парафія
Плішьивий,Хворий На Псоріаз
Плова,Сильний Дощ З Бурею
Плюта,Мокра Холодна Погода
Плюта,Повноводдя
Плявза,Донос
Плявза,Пасквіль
Плян,План
Пляцок,Корж
Пляцок,Налисник
Пляцок,Млинець
Побардзувати,Зневажити
Побардзувати,Знехтувати
Побардзувати,Принизити
Побережничка,Жінка Побережника
Побігаласи,Буде Тільною
Побій,Дах Будови
Побій,Покрівля
Побліка,Напасть
Побліка,Неприємність
Поброїлоси,Зламалося
Поброїлоси,Зупинилося
Поброїлоси,Зіпсувалося
Повелицідни,Після Великодня
Повелиціни,Після Великодних Свят
Повертин,Повернення
Від'їдини,Післявесільна Гостина
Повесівне,Від'їдини
Повесівне,Повесільне
Повизше,У Верхів'ї
Повісти,Оповідки
Повісти,Повісторки
Повістувала,Оповідала
Повістун,Оповідач
Повістун,Повістяр
Повістувати,Оповідати
Повітігає,Витягне
Повсихают,Висохнуть
Повсихают,Всохнуть
Повсихают,Засохнуть
Погарец,Шклянка
Поглід,Світогляд
Поґлайхаймос'є,Погодімся
Поґлайхаймос'є,Примирімся
Поданцувати,Погуляти
Подвійні Прутики,Вид Мережання
Подвірьичко,Подвір'ячко
Подеякі,Дехто
Подеякі,Декотрі
Подеякі,Окремі
Подиви-Ко Си,Глянь
Подиви-Ко Си,Подивися
Подушечькє,Подушечки
Поєс,Пасок
Поєс,Опинка
Поєс,Черес
Позначіла,Позначила
Позначіла,Поклала Позначку
Пожєлувати,Виявити Співчуття
Пожєлувати,Поспівчувати
Позавуш,Удар Ззаду В Голову
Позавушник,Ляпас Поза Вуха
Позавушник,Потиличник
Позаєк,Оскільки
Позаєк,Позаяк
