Ukrainian,Hutsul
"Новоприбулі попадали на неї купами, розташувались, і аж тоді почали оглядати один одного","Новоприбулі прирацичіли на ню купами, розташувались, і аш тоді почали обзерати оден одного."
"Степан трохи зніяковів, пробурчав невиразно ""діло є"" і так само неуважно пішов назад","Штіфан маленько зніяковів, пробурчав невиразно ""діло є"" і йо само неуважно пішов взад"
"І це була остання людина, остання жінка, остання мати, що вийшла їх проводжати","І цисе була послідна людьина, послідна чілідина, послідна неня, шо вийшла їх віріжьити."
"Вихлюпуючи воду звідти, Катранник прошепотів, ніби сам собі чужий: ""Це я ще живу!""","Вихлюпуючи воду відтів, Катранник прошепотів, отік сам собі чюжий: ""Цисе йа шє жию!"""
"— Не знаю звідки, але шукати її зараз ми не будемо без світла","""— Ни знаю иків, айбо шниріти ї зараз ми не будемо бес світла""."
"Але скоріше, що днями сидів тут, а на ніч вибирався зі своєї схованки","Айбо борше, шо уногди–ка сидів гир, а на ніч вибирався зі своєї декунки."
"Вірьовка була трохи покоротка, він її так потяг спересердя, що вона перервалась посередині","Вірьовка була маленько покоротка, вин ї йо льокайка спересердя, шо уна перервалась посередині."
"Чорт його знає, нарешті, хто він, але Андрій знає про себе, хто він","Мольфар го знаї, нарешті, хьто вин, айбо Андрусик знаї про себе, хьто вин."
Досі вона її не покидала й вела Максима через усе життя аж дотепер,Досі вона ї не покидала й вела Максима чіріз капєц житє аш дотепер.
"Все було байдуже, хотілося тільки одного — дивитися без кінця в його очі","Всьо було байдужно, хотілоси іно одного — обзирати бес кінця в го сліпаки."
"— Так, пан гебітскомісар читав ""Федра"", але йому більше до душі Платонів ""Бенкет""","""— Йо, лєнка гебітскомісар читав ""Федра"", айбо йиму бірше ід душі Платонів ""Бай""""."
"Фабіян вдався до того, щоб, на випадок смерті, аби тут–таки і бути похованим","Фабіян вдався ід того, абесте, на трапунок смерті, би гир–прем і абиде похованим."
"У літаку є сіль, але ж хто знав, що тут сидять без солі","У літаку буют сіль, айбо ж хьто знав, шо гир сидє бес солі."
Дарія Олександрівна сама бачить: край життя; так треба ж зберегти малих від страху,Доця Олександрівна сама бачить: країчок житє; йо тре ж зашшібати малих вид страху.
"— вигукнув Торісмунд, вигукнув так само, як цілий день сьогодні вигукував його батько","""— вигукнув Торісмунд, вигукнув йо само, єк цілий днина сьогодні вигукував го дідик""."
"Потяг рушав, тоді рвонувся хлопець до вікна: погукати в натовп, можливо, мати почує","Льокайка рушав, тоді рвонувся хлопець до вікна: погукати в глітно, бізівно, неня почує."
"Давним-давно одному чоловікові ворожка наворожила, що він помре, якщо доторкнеться до свого сина","Давнім-давно одному чоловікові баба наворожила, шо він помре, наколи доторкнеться до свого сина."
"Бо все минає і все проходить, але продовжується життя, джерело якого — любов","Бо всьо минає і всьо траф'єїтси, айбо більшіє житє, головиця якого — люба."
— Смієшся?— запитав я.— Що нас довело до цього аж ніби вигаданого життя,"""— Смієшся?— запитав йа.— Шо нас довело ід сего аж отік вигаданого життя."""
"Він так повчав, ніби все життя те й робив, що підбивав німецькі танки","Вин йо повчав, отік всьо житє тото й робив, шо підбивав німецькі танки."
"Лук'ян раніше ніколи не думав, що передчуття багатства може бути таким страхітливо тривожним","Луць давнійше ніколи ни думав, шо передчуття багатства може бути таким страхітливо тривожним."
"Він кидається (якщо це можна назвати ""кидається""), але з оточення вийти не може..","Вин кидаєць (наколи цисе можна назвати ""кидаєць""), айбо з оточення війти не годен.."
"Ця маса, цей людський потік підхопив і Максима, як каламутна вода підхоплює лист","Ся маса, цес людський поточіна підхопив і Максима, єк каламутна ара підхоплює письмо."
"Антон тоді повів його до свого батька й сказав: ""Ось він горох украв""","Антось тоді повів го ід своєго батька й сказав: ""Леда вин горох украв""."
"О ви, що цей келих страшний піднесли, Чи самі ж ви його пили?","АДЬИ ви, шо цес погар бійний піднесли, Ци самі ж ви го пили?"
"Маленький випадок, коли він випадає з низкою сприятливих передумов, може спричинити дуже багато","Міціцький трапунок, коли вин віпадайи з низкою сприятливих передумов, годен спричинити моц велико."
"То нічого, що її вже немає, але ж вона могла би й бути..","То нич, шо ї вже не суть, айбо ж уна могла би й абиде.."
"Йому було зовсім-таки байдуже, хто носитиме ті полумиски й чи носитиме їх узагалі","Йиму було прем-прем байдужно, хьто носитиме тоти полумиски й ци носитиме їх узагалі."
"Як тільки я пірнаю в кущі, в зелений присмерк, щось шурхає за спиною","Єк іно йа пірнаю в корчікє, в зиленкуватий присмерк, шош шурхає за спиною."
"Але батько потурбувався вмерти за рік до революції, і, нівроку йому, добре зробив","Айбо дідок потурбувався крепнути за рік ід революції, і, нівроку йому, добре зробив."
"Доказом цього є те, як вона тримає мітлу: вона несе її, як прапор!.","Доказом сего буют тото, єк уна тримає мітлу: уна несе ї, єк фана!."
"Діти питали, чи тато скоро вернеться; були якісь налякані,— їй здалося, що вгадали її страх","Ґіти питали, ци дєдя борзо вернетси; були якісь налякані,— їй здалося, шо вгадали ї пуд."
"Ще не прокинувшись, Шахай знає, що це будить його воля, якій він призначив час розбудити","Шє ни прокинувшись, Шахай знаї, шо цисе будить го воля, якій вин призначив чєс скорнєти."
"Щось там в ділі є таке, що може геть його розторощити й всьому покласти край","Шиш генде в ділі буют таке, шиш годен гет го розторощити й всьому покласти країчок."
"Взяла гроші, що чоловік привіз: небагато, але досить на квитки, доїхати до міста і вернутись","Зафатила ґрейцер, шо хлоп привіз: нибогато, айбо доста на квитки, доїхати ід міста і вернутись."
"Пірнути в сон, забутися, не знати нічого, не бачити, а там усе хай, як знає.","Пірнути в сон, забутися, не кібзувати нич, не пизнати, а генде капєц хай, єк знаї."
"А зрадник, що видав наших жінок, добре відчув, як помалу наближається до нього невідступна смерть","А юда, шо видав наших жінок, єлоси відчув, єк помалу ближитци до нього невідступна авс."
"Може, ще цієї ночі, а може, через ніч — і те, що є неминучим, станеться","Годин, шє цієї ночі, а годин, чіріз ніч — і тото, шо буют неминучим, станеться."
"Андрій міг іти на парі, що то хтось підходить спеціально дивитися та прислухатися до нього","Андрусик міг ити на заліжка, шо то хтось підходить спеціяльно обзерати та прислухатися ид нього."
"Той крик і несамовита лайка не те щоб його злякали, зовсім ні, вони його оглушили","Тамтой ґвавт і несамовита гунцвот ни тото абесте го злякали, прем ні, уни го оглушили."
"Адже це бородате тіло, що залило клас й стиснуло повітря, може не випустити їх відціля","Прецінь цисе бородате кіло, шо залило кляса й стиснуло люфт, годен не віпустити їх відціля."
"Він цілком логічно міркував, що дівчина, щось від хлопця дістаючи, щось починає бути йому винна","Вин цалком логічно міркував, шо чєрса, шош вид хлопця дістаючи, шош починає абиде йиму винна."
"А колись, дуже давно,— ти не можеш навіть уявити, як давно,— я теж була молода..","- А колис, моц давнійше,— тьи не можеш навіть уявити, єк давнійше,— йа теж була книгині.."
"По тому, як вони разом обоє щось відповіли, я зрозумів, що вони нічого не бачили","По тимунь, єк уни разом вбоє шош відповіли, йа зрозумів, шо уни нич не бачили."
"Він невиразно прагнув писати про те, що бачить зараз, обробляти останні враження свої, враження міста","Вин невиразно прагнув шрайбати про тото, шо бачить зараз, оброб'єти послідні вражіння свої, вражіння міста."
"Одначе він все-таки стежив пильно за розшуками рудої фурії: ""А що як справа тут, га?","""Одначе він всьо-прем стежив зірко за розшуками рудої фурії: ""А шо єк інтерес гир, га?""."
"Може, воно недалеко від дому, а може, — зовсім не туди він іде, куди слід","Годен, воно блишше вид дому, а годен, — прем не туди вин йдет, куди пощік."
"Тут був колись банк, де служив батько його гімназіяльного друга, тепер — це робітничий клуб","Гир був колис банк, де служив дьидик го гімназіяльного друга, тіпер — цисе робітничий клюб."
"Степан після третьої пляшки відчув на душі смуток, ніби всесвіт мав загинути через кілька день","Штефан післідь третьої пляшки відчув на душі туск, отік всесвіт мау крепнути чіріз кілька днина."
"Як тільки це станеться, то Явтух випередить багатьох, і ці, нещасні, вклонятимуться йому до землі","Як лиш цисе станеться, то Явтух випередить багатьох, і отсі, нещасні, вклонятимуться йиму ід землі."
"Між іншим, ця велика людина не передбачила наших часів., їй не слід було так заявляти","Мижи іншим, ся бірьшя людьина не передбачила наших часів., їй не пощік було йо заявляти."
"Все йшло чудово, й він почувався так добре, як, може, не почував себе ніколи досі","Всьо йшло файно, й вин почувавсми йо єлоси, єк, годен, ни почував сибе ніколи досегодне."
"Над усе боявся хлопець, що вона затримається, й тоді годі буде її впізнати в юрмиську","Над капєць боявсми хлопец, шо уна затримається, й тоди гляба буде ї пизнати в юрмиську."
"Чи так я вас зрозумів: літати й будувати по-вашому, це зовсім не те, що по-моєму","Ци йо йа вас зрозумів: літати й будувати по-вашому, це прем не тото, шо по-моєму."
"Темне волосся він одкидав назад, як багато хто з селюків і дехто тепер з поетів","Темне волоссє вин одкидав взад, єк велико хьто з селюків і подеякі тіпер з поетів."
"Від зворушення він тоді вже не бачив більше нічого всю решту дороги, як його везли","Від зворушення вин тоді вже не бачив бірше нич всу решту дороги, єк го везли."
"Він (так я далі називатиму себе) заходить, а Паня шукає сірники й не може знайти","Вин (йо йа оподаль називатиму себе) влазєєси, а Паня шукає сіркачі й не годен знайти."
"Підлога, як звичайно, була мокра й на неї не можна було сісти, але то нічого","Поміст, єк ашош, була мокра й на ню не можна було сісти, айбо то нич."
"Але тиша від свіч така велика, така тріумфальна, що, здається — Зіверт зовсім не говорить","Айбо покі вид свіч така бірьшя, така тріумфальна, шо, отєк — Зіверт прем не балакає."
Я не розумію: є ж усе-таки в партії українці — чому вони нічого не роблять,ЙА ни розумію: буют ж капєц-прем в партії українці — чьо-сте уни нич не роб'ють
"Взяла тоді дзеркальце: перевірити, чи ще є дихання; підносить до уст лежачого і так тримає","Зафатила тоді дзеркальце: перевірити, ци шє буют дихання; підносить ид уст лежачого і йо тримає."
"Тільки минулого року трудящі придбали сімнадцять телевізорів, дев'ять пральних машин, двадцять шість велосипедів, тридцять мотоциклів","Іно минулого року трудящі постарали ся сімнайціть телевізорів, див'єтка пральних машин, двайціть шіст велосипедів, трийцікь мотоциклів."
"Зрештою, може, він і подобався їй, але тепер, безпритульний, чим він міг її чуття зміцнити","Зрештою, годен, вин і подобавсми їй, айбо тіпер, льонт, чим вин міг ї чутє потужити."
"""Треба триматися, — через силу заговорив він, — я послав ще вночі по підмогу, та до неї верст із двадцять, і., крім наших партизанів, може бути регулярна червона частина, там головний шлях","""Тре держєтиси, — чіріз силу заговорив вин, — йа послав шє вночі по підмогу, та ід ню верст із двайціть, і., крім наших партизанів, годен абиде регулярна черлена буката, генде форин гостинець""."
"Якби він вмів ушивати, то вона найняла б його, ось підуть дощі, й пропаде хата без крівлі","Коби вин вмів ушивати, то уна найняла б го, леда підуть дощі, й знівечєтси осєдочьок бес крівлі."
"Та я помітив, що в міру того, як він переходить від полотна до полотна, очі його загораються","Таже йо, шо в міру того, як вин переходить від полотна до полотна, очі його загораються."
Чи не все рівно куди — щоб він тільки був на коні та його спокійні очі спереду,Ци не всьо дознаку куди — абесте вин іно був на тєгло та го спокійні сліпаки спереду.
"Очевидно, Мельник мав щодо нього якесь окреме розпорядження, але серед інших розпоряджень думав, що вже виконав доручене","Видко, Менник мау щодо нього йкес окреме розпорядження, айбо мижи єнших розпоряджень гадав сми, шо вже виконав доручене."
"Князь аж стрясся, налякався власної думки, бо думав, що се йому самому така думка прийшла до голови","Князь аш стрясся, изжьих сі свеї здохи, бо гадав сми, шо се йиму самому така думка прійшла ід голови."
"Вона, ця тюрма, натоптана людьми до неможливості, але всі ті люди сидять ось так і ""не дишуть""","Уна, ся фурдиґа, натоптана людьми ід неможливості, айбо всі тоти люди сидє леда йо і ""не дишуть""."
"Після цього ми побачили, як родить жінка, її ноги, посинілі від болю, тремтять, і тремтить повний живіт","Післідь сего ми побачили, єк родить чілідина, ї ноги, посинілі вид болю, тремтять, і тремтить оповний почеревина."
"Брати його зрадили, а слідчі тепер його тільки провокують, перевіряють, чи він знає, про яких ""людей"" мова..","Братя го зрадили, а слідчі тіпер го іно провокують, перевіряють, ци вин знаї, про иких ""людей"" бай.."
"Нещодавно я знову заїхав до селищної бібліотеки, маючи на думці дізнатися більше, ніж це досі мені вдавалось","Оногди йа знову заїхав ід селищної бібліотеки, маючи на думці розізнати бірше, брич цисе досегодне мині вдавалось."
"Він усе робив повільно, як і говорив, і те тягучке ім'я цілком відповідало його лінькуватій вдачі: Ма-ас..","Вин капєц робив млаво, єк і говорив, і тото тягучке мнє цалком відповідало го лінькуватій вдачі: Ма-ас.."
"Зажило, але схоже, що йому в те важко повірити, того кожний мій рубець навертає його на задуму","Зажило, айбо схоже, шо йиму в тото тєжко повірити, того кождий мий руб навертає го на задуму."
"Андрієві ця декорація те сподобалась Проте він не оцінив її як слід, бо не знав нічого ще","Андрієві ся декорація тото сподобалась Прецінь вин не оцінив ї йк пощік, бо не знав нич шє."
"Він, певно, відмовився б від вечірки, але, що справа тут його здібностей торкалась, то сказав: — Дурниці","Вин, ретенно, відмовивсми б вид вечірки, айбо, шо інтерес гир го здібностей торкалась, то сказав: — Бандиґі."
"Він знав, що треба і як треба далі писати, тільки прірва запалась між його задумом і папером","Вин знав, шо тре і єк тре оподаль шрайбати, іно прірва запалась мижи го задумом і папером."
"Адже ж тяжко буде слідчим умотивувати достатньо, чому вони тримають таку масу людей, заховавши її від світу","Прецінь ж тєжко буде слідчим умотивувати доста, чьо-сте уни держє таку масу людей, заховавши ї вид світу."
"Я ненавиджу його за те, що він був мій батько, і вдячний йому, що його тепер нема","""ЙА нинавиджу го за тото, шо вин був мий дьидик, і вдячний йиму, шо го тіпер нема""."
"Хоч він і не годен був з'їсти її зараз, але, може ж, він її таки з'їсть потім","Хоч вин і не годен був з'їсти ї зараз, айбо, годен ж, вин ї прем з'їсть витак."
"Я бачив Марину ще біля воріт, але тоді, один на один, вона не наважилась підійти до мене","ЙА бачив Марину шє пілє воріт, айбо тогди, оден на оден, уна не наважилась підійти ід мене."
"Ну, так, це давно вже він вирішив, тільки чомусь не міг досі голосно сказати: — Треба вбити..","Ну, йо, цисе давнійше вже вин вирішив, іно чомусь не міг досі голосно зговорити: — Тре крепір.."
"Це була вона, тільки страшенно змінена, майже спотворена, але в чім саме, він ще не міг сказати","Цисе була уна, іно страшенно змінена, єкмай спотворена, айбо в чім акурат, вин шє не міг зговорити."
"Звичайно, дійде й до неї черга, вип'ють і її, незалежно від того, що там з нею трапилось","Ашош, дійде й ід ню джєрга, вип'ють і ї, незалежно вид того, шо генде з нею трапилось."
"Я знаю, що Кривов'яз чекав смерті, готувався до неї, і мені здається, що він ходить моїми слідами","ЙА знаю, шо Кривов'яз чекав смерті, готувався ід ню, і мені отєк, шо вин ходить моїми слідами."
"Розділ третій Як важко шукати брата, якщо тобі хочеться, щоб, окрім тебе, його більше ніхто не знайшов","Розділ третій Єк тєжко шниріти брата, наколи тобі кортит, абесте, окрім тє, го бірше ніхто не знайшов."
"Камера була дуже холодна, люди голі, в чому мама родила, але грілись думкою що це скоро минеться","Камера була моц студена, люди голі, в чьо-сте неня чьинила, айбо грілись думкою шо цисе борзо минеться."
"Те, що говорив Роман,— це ж, власне, те, що думав і він завжди тут і перед цим","Тото, шо говорив Ромко,— цисе ж, власне, тото, шо гадав сми і вин водно гир і перед цим."
"Так, ніби мав одержати листа і той лист уже йде, наближається, повний, може, жаху, зламів, але пориву","Йо, отік мау одержати листа і тамтой письмо уже йде, ближитци, оповний, годен, жаху, зламів, айбо пориву."
"Сиз знав: то вона нагадує йому — треба швидше повертатися додому, до свого корча, бо скоро світатиме","Сиз знав: то уна нагадує йиму — тре борше корнєтися ід'хаті, ід своєго корча, бо борзо світатиме."
"І ось мені його жаль, я його буду шукати і слухати, прощаючи досить суттєві помилки Він все-таки досягає мети","І леда мені го жіль, йа го буду шниріти і слухати, прощаючи доста суттєві помилки Вин всьо-прем досягає мети."
"Вони, звичайно, проливають світло на те, як чоловік формувався, що собою являє, але ви ж бачите, як ми живемо","Уни, ашош, проливають єсніскь на тото, єк хлоп формувавсми, шо собов являє, айбо ви ж бачите, єк ми живемо."
"Сам собі говорить він, але так, що сторонньому чути: — Умерла жінка, другий день лежить — і вони нічого..","Сам собі балакає він, айбо йо, шо сторонньому чюти: — Умерла чілідина, другий днина лежить — і уни нич.."
"Повсюді Прокопові року народження 1894, у тому, що він за станом здоров'я не може бути використаний для військової служби""","Повсюді Прокопові року народжіня 1894, у тимунь, шо вин за станом здоров'ячко не годен абиде виглоданий для військової служби."
"Коли Петро глянув у те лице — побачив, що Роман цілком притомний, очі Романові дивляться на нього спокійно, пильно","Коли Петро зазівнув у тото лице — побачив, шо Ромко цалком притомний, сліпаки Романові див'ютси на нього миром, зірко."
"Петро думав, що це вже остання хвилина й що його товариш відходить, що милосердя до нього прийшло само собою","Пітерко гадав сми, шо цисе вже послідна хвилина й шо го камрат відходить, шо милосердя ід нього прийшло само собов."
"Це скидається на жарт історії, адже не треба особливо прозірливих очей, щоб побачити, що вихід з неволі тільки один","Цисе скидається на жерт історії, прецінь не тре особливо прозірливих очей, абесте уздріти, шо вихід з неволи іно оден."
"Тут була вже земля графа Заградського, до якої вони їхали майже тиждень, отже, тепер могли відпочити й набратися сил","Гир була вже земня графа Заградського, ід икої уни їхали єкмай тиждень, отєж, тіпер могли припочіти й набратися сил."
"— Я тільки хочу почути її щиросердно з твоїх уст, щоб знати, чи ти є ворог до кінця, чи…","""— ЙІ іно багну почути ї щиросердно з твоїх уст, абесте кібзувати, ци тьи буют ворог ід кінця, ци…"""
"Треба все зняти на плівку і цю плівку долучити до тієї угоди, що її буде складено під час побачення","Тре всьо скєгнути на плівку і цисю плівку долучєти ід тієї угоди, шо ї буде складено під чєс здибанка."
"Удар був не дуже сильний, так що Андрій з товаришами тільки трохи потовклись один об одного, але не пошкодились","Махмуц був не моц годен, йо шо Андрусик з товаришами іно маленько потовклись оден об одного, айбо не пошкодились."
"Дехто наблизився так, що якби мав револьвер чи ""обріз"", напевно міг би поцілити прищулених вартових і проскочити в двір","Подеякі наблизивсми-си, шо коби мав ліворвер ци ""штуц"", відав міг би поцілити прищулених вартових і проскочити в гофа."
"Він так І не підійшов до корита, хоч дуже хотів пити, але штовхатися зараз між пітних тіл було понад його силу","Вин йо І ни підійшов ід корита, хоч моц хотів глигати, айбо пхатиси зараз мижи пітних тіл було поверх го силу."
"Але, замість цього, майор якось розгублено, аби тільки щось сказати, промимрив — запитав: — Вам, може, цікаво знати зміст вашого вироку?.","""Айбо, наміж сего, майор йкос розгублено, би іно шош зговорити, промимрив — запитав: — Вам, годен, вере кібзувати зміст вашого вироку?."""
"Але, взявшись підписуватись, він завагався — коли прізвище було йому зовсім до вподоби, то саме ім’я — Степан його трохи збентежило","Айбо, взявшись підписуватись, вин завагався — коли порекло було йиму прем ід вподоби, то акурат ім’йа — Штефан го маленько збентежило."
"Чим довше я придивлявся до Його обличчя, тим більше здавалося, що Він душиться від якогось невисловленого болю, проте не може заговорити","Чим довше йа придивлявся ід Го тварь, тім бірше здавалося, шо Вин душиться вид якогось невисловленого болю, прецінь не годен заговорити."
"Зайшовши беззвучно за очерет, він так само беззвучно, але якомога швидше пішов убік, уже майже певний, що те ""гальт"" стосувалося таки до нього","Зайшовши беззвучно за троща, вин йо само беззвучно, айбо якомога борше пішов убік, уже єкмай певний, шо тото ""гальт"" стосувалося прем ід нього."
"А тоді якось ніяково, вибачаючись: — Ти понімаєш, махорки було трохи більше, — шість пачок, чи що, — так хлопці, понімаєш, хочуть курити..","А тоди йкос омпно, вибачаючись: — Тьи понімаєш, махорки було маленько бірше, — шіст пачок, ци шо, — йо хлопці, понімаєш, хотє пахтолити.."
"— Якщо вам,— тицьнув я його в груди,— влада дістанеться через років десять, то коли ви більше зраділи б: якби це сталося тепер чи тоді","""— Наколи вам,— тицьнув йа го в груди,— урід дістанеться чіріз років десіть, то коли ви бірше зраділи б: коби цисе трафилося тіпер ци тогди""."
"Спіймати його важко, але коли привести до нього невинну дівчину, він наближається до неї, починає ссати її грудь, і тоді вона може привести єдинорога в царську палату","Їмити го тєжко, айбо коли привести ід нього невинну дівчину, вин ближитци ід ню, починає ссати ї грудь, і тоді уна годен привести єдинорога в царську палату."
"Йому здається, що він іде довго, може, вже й кілька днів, хоч це був ще той самий день, в який загинув Роман, в який загинуло так багато його друзів","Йиму отєк, шо вин йдет довго, годен, вже й кілька днів, хоч цисе був шє тамтой самий днина, в який загинув Ромко, в який загинуло йо велико го друзів."
І немає йому кіпця!.,І ни суть йиму кіпця!.
Тільки побачив: кінь лежить..,Іно побачив: конє лежить..
— Як я віддячу,— Єк йа віддячу.
— Як же ти знайдеш: там стільки люду,"""— Єк же тьи знайдеш: генде кілко люду""."
Так завше кажеш ти,Йо завше кажеш тьи.
Ось яка я тепер із вашої легкої руки…,Леда ика йа тіпер із вашої легкої руки…
Але — сміливі завжди мають щастя,Айбо — сміливі водно мають шчастя.
А тоді вернувся назад під стіл,А тоди вернувсми назад під стів.
"Може, Зоська спізниться сьогодні","Годин, Зоська спізнитьсми сьогодні."
"Тоді він почав повзти, на чотирьох","Тогди, то вин єв повзти, на чотирьох."
"Тепер я гасю сірника — треба заплющити очі, потім подивитися навкруги: вогник десь мусить себе показати","Тіпер йа гасю сірника — тре заплющити сліпаки, витак зиркнути наоколо: вогник десь мусить себе роздіїти."
Але вона покірно пішла,Айбо уна покірно пішла.
А навколо — квіти..,А наоколо — цвіти..
"Без сумніву, вони існують","Бес сумніву, уни існують."
Та вони тут погані,Та уни гир погані.
— Як і теперішні,— Єк і типеречькі.
Зціплював зуби — нехай,Клянців клянці — най.
Яка ж ти уперта,Ика ж тьи уперта.
"Його очі світліші, ніж перед дрімотою","Го сліпаки світліші, брич перед дрімотою."
І до революції ще,І ід революції шє.
"Все дозволено, що собі на користь","Всьо дозволено, шо собі на хосин."
"Як горобці, всі розлетілись","Єк горобцьи, всі розлетілись."
"""А якщо податися далі",А наколи податися оподаль
"(добродушна іронія, видно, він знає добре, за що Андрія посадили до карцеру, і це його веселить)","(добродушна іронія, видко, вин знаї єлоси, за шо Андрія посадили ід карцеру, і цисе го веселить)"
Вони були без зброї,Уни були біс зброї.
Все те було поділено поміж дітьми,Всьо тото було поділено між дітьмі.
Це такий режим тут,Цисе такий режим гирь.
"А я, можливо, ще й невдаха до всього","А йа, бізівно, шє й невдаха ід всього."
"Аж руки потирає, що спіймав тебе","Аш руки потирає, шо спіймав тє."
Даринка хто вам: дружина чи наймичка,Даринка хьто вам: жинка ци наймичка.
"— І до мене: ""Чи то все правда?""","""— І ід мене: ""Ци то всьо правда?""""."
"Після першої партії пішла друга, третя..","Післідь першої партії пішла друга, третя.."
"Він завербував його, як свого ""шефа й повелителя"", що тепер б'є його й мучить, щоб мовчав","Вин завербував го, єк своєго ""шефа й повелителя"", шо тіпер б'є го й мучить, абесте мовчав."
"Я, звичайно, не дозволив""","ЙІ, ашош, ни дозволив."
"— Так,— зітхнула вона","— Ий,— зітхнула уна."
"Це вона — Галя, як була ще маленькою","Цисе уна — Галя, єк була шє маленькою."
Що батько був дрібним буржуа — це так,Шо дідик був дрібним буржуа — цисе йо.
Голова була цілком свіжа,Гала була цалком свіжа.
Тоді Петрові раптом чомусь стало страшно,Тогди Петрові нараз чомусь стало пудно.
Це ніби перед смертю,Цисе отік перед смертю.
Кажу до своїх: рятуйтеся,Ка'у ід своїх: рятуйтесь.
Нехай увесь світ горить,Най увесь сьвіт горить.
"— Хто ""свіжа голова""","""— Хьто ""свіжа гола""""."
Давно матусі вже немає,Давнійше матусі вже не суть.
і тут щось хряснуло,І гир шош хряснуло.
Але це не болить,Айбо цисе не болить.
"Він робить злочин, що марнує час""","Вин робить злочин, шо марнує чєс."
"Я вважаю, що уривок можна поліпшити","ЙА вважаю, шо кавалок можна поліпшити."
"Тоді розпалив багаття й, певний, що йому пощастило уникнути переслідування, почав, насміхаючись, розповідати їй свої задуми","Тогди розпалив ватра й, певний, шо йиму пощастило вивилєтиси переслідування, єв, насміхаючись, повістувати їй свої бакє."
